driverName,driverGroup,AUS,BHR,VNM,CHN,NLD,ESP,MCO,AZE,CAN,FRA,AUT,GBR,HUN,BEL,ITA,SGP,RUS,JPN,USA,MEX,BRA,UAE,warning,totalLicensePoints
015 GW,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
32,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Alick,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Charlotte Amor,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Dop.25,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Especial_Pan,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
G0ldeN_-,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Guagua,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
h0,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
HanserTG,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Hayato,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
LHAM66,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
littleredhat,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Noth Amor,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Owen Li,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Quick Nick,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
RiceCake,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Rory Amor,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
shadowferrari,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
shotsbaldwin,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Ti-x dor,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
whiteGX5,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
ZghosT,A1,,,,,,,,,,,,,,,,,,,,,,,0.0,12
61,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
ARTIST,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
BIUAninA,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Caps,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
come papa here,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
cveda,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Dragon,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
EricWang,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
EVAIN,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Head brother,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Ive Wei,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
KenHo,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Kvwowv,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
LinuS Sebastian,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Livistar,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
LOStSCX,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Lucaspo,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
LugoBox,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
Mercedes 4orever,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
ohmhong,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
qszx44,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
TeamCorvette,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
TXG,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
WindGK,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
WUHUQIFEI,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
XD_Fantaman,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
YG_MMM,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
YIN,A2,,,,,,,,,,,,,,,,,,,,,,,0.0,12
