driverName,team,driverGroup,driverStatus,joinTime,raceBan,qualiBan
32,McLaren,A1,1st driver,2021/1/15,0,0
61,Reserve,A2,reserved driver,2021/1/15,0,0
146,Testing,A3,testing driver,2021/1/15,0,0
2540119046,Reserve,A2,reserved driver,2021/1/15,0,0
015 GW,McLaren,A1,2ed driver,2021/1/15,0,1
ACS-D,Testing,A3,testing driver,2021/1/15,0,0
akacboy91s,Reserve,A2,reserved driver,2021/1/15,0,0
Akei Pan,Reserve,A1,reserved driver,2021/1/15,0,0
Alick,Mercedes AMG,A1,1st driver,2021/1/15,0,0
ALLLLLLL,Testing,A3,testing driver,2021/1/15,0,0
Apostle,Reserve,A1,reserved driver,2021/1/15,0,0
ARTIST,Racing Point,A2,1st driver,2021/1/15,1,0
babiface,Reserve,A1,reserved driver,2021/1/15,0,0
Banana,Reserve,A1,reserved driver,2021/1/15,0,0
BIUAninA,Reserve,A2,reserved driver,2021/1/15,0,0
Caps,Reserve,A2,reserved driver,2021/1/15,0,1
CeleRadish,Alfa Romeo,A1,1st driver,2021/1/15,0,0
Charlotte Amor,Alpha Tauri,A1,2ed driver,2021/1/15,0,0
Charlotte Amor,Alpha Tauri,A2,1st driver,2021/1/15,0,0
come papa here,Mercedes AMG,A2,2ed driver,2021/1/15,0,0
cveda,Reserve,A2,reserved driver,2021/1/15,0,0
danke,Reserve,A2,reserved driver,2021/1/15,0,0
Deko_Alex,Testing,A3,testing driver,2021/1/15,0,0
DJH,Reserve,A1,reserved driver,2021/1/15,0,0
dodo,Reserve,A2,reserved driver,2021/1/15,0,0
Dop.25,Haas,A1,2ed driver,2021/1/15,0,1
Dragon,Reserve,A2,reserved driver,2021/1/15,0,0
EricWang,Williams,A2,2ed driver,2021/1/15,0,0
Especial_Pan,Red Bull Racing,A1,2ed driver,2021/1/15,0,0
EVAIN,Racing Point,A2,2ed driver,2021/1/15,0,0
Even,Ferrari,A1,1st driver,2021/1/15,0,0
Firress,Testing,A3,testing driver,2021/1/15,0,0
Flamus,Reserve,A1,reserved driver,2021/1/15,0,0
funaNAna,Reserve,A2,reserved driver,2021/1/15,0,0
G FEAR,Reserve,A1,reserved driver,2021/1/15,0,0
G0ldeN_-,Reserve,A1,reserved driver,2021/1/15,0,0
GayGeality,Testing,A3,testing driver,2021/1/15,0,0
GKKrasus,Reserve,A2,reserved driver,2021/1/15,0,0
Guagua,Williams,A1,1st driver,2021/1/15,0,0
h0,Reserve,A1,reserved driver,2021/1/15,0,0
HanserTG,Reserve,A1,reserved driver,2021/1/15,0,0
Hayato,Renault,A1,2ed driver,2021/1/15,0,0
Head brother,Reserve,A2,reserved driver,2021/1/15,0,0
Ive Wei,Racing Point,A2,3rd driver,2021/1/15,0,0
JokerOwen,Red Bull Racing,A1,3rd driver,2021/1/15,0,0
Kanavi,Reserve,A2,reserved driver,2021/1/15,0,0
KenHo,Reserve,A2,reserved driver,2021/1/15,0,0
KinMerture,Reserve,A2,reserved driver,2021/1/15,0,0
Kvwowv,Reserve,A2,reserved driver,2021/1/15,0,0
LeeJiEun,Reserve,A2,reserved driver,2021/1/15,0,0
Leo,Alfa Romeo,A1,3rd driver,2021/1/15,0,0
LHAM66,Racing Point,A1,1st driver,2021/1/15,0,0
