driverName,team,driverGroup,totalPoints
32,McLaren,A1,0
61,Reserve,A2,0
146,Testing,A3,0
2540119046,Reserve,A2,0
015 GW,McLaren,A1,0
ACS-D,Testing,A3,0
akacboy91s,Reserve,A2,0
Akei Pan,Reserve,A1,0
Alick,Mercedes AMG,A1,0
ALLLLLLL,Testing,A3,0
Apostle,Reserve,A1,0
ARTIST,Racing Point,A2,0
babiface,Reserve,A1,0
Banana,Reserve,A1,0
BIUAninA,Reserve,A2,0
Caps,Reserve,A2,0
CeleRadish,Alfa Romeo,A1,0
Charlotte Amor,Alpha Tauri,A1,0
Charlotte Amor,Alpha Tauri,A2,0
come papa here,Mercedes AMG,A2,0
cveda,Reserve,A2,0
danke,Reserve,A2,0
Deko_Alex,Testing,A3,0
DJH,Reserve,A1,0
dodo,Reserve,A2,0
Dop.25,Haas,A1,0
Dragon,Reserve,A2,0
EricWang,Williams,A2,0
Especial_Pan,Red Bull Racing,A1,0
EVAIN,Racing Point,A2,0
Even,Ferrari,A1,0
Firress,Testing,A3,0
Flamus,Reserve,A1,0
funaNAna,Reserve,A2,0
G FEAR,Reserve,A1,0
G0ldeN_-,Reserve,A1,0
GayGeality,Testing,A3,0
GKKrasus,Reserve,A2,0
Guagua,Williams,A1,0
h0,Reserve,A1,0
HanserTG,Reserve,A1,0
Hayato,Renault,A1,0
Head brother,Reserve,A2,0
Ive Wei,Racing Point,A2,0
JokerOwen,Red Bull Racing,A1,0
Kanavi,Reserve,A2,0
KenHo,Reserve,A2,0
KinMerture,Reserve,A2,0
Kvwowv,Reserve,A2,0
LeeJiEun,Reserve,A2,0
Leo,Alfa Romeo,A1,0
LHAM66,Racing Point,A1,0
LinuS Sebastian,Red Bull Racing,A2,0
littleredhat,Haas,A1,0
Livistar,Ferrari,A2,0
LOStSCX,Reserve,A2,0
LoveLIver37,Reserve,A2,0
Lucaspo,Reserve,A2,0
LugoBox,Reserve,A2,0
MadKing Amor,Reserve,A1,0
markisco,Reserve,A2,0
MARU.C7Y,Reserve,A2,0
Mastvalk,Testing,A3,0
Meat_GC,Reserve,A2,0
Meat_Lu,Reserve,A2,0
Meow,Ferrari,A1,0
Mercedes 4orever,McLaren,A2,0
NG,Reserve,A1,0
Noth Amor,Alpha Tauri,A1,0
NPUSmlz,Reserve,A2,0
o2Jam-LucKy,Reserve,A2,0
ohmhong,McLaren,A2,0
Owen Li,Mercedes AMG,A1,0
PanNi,Testing,A3,0
PaySd,Williams,A1,0
Peter17,Testing,A3,0
qszx44,Williams,A2,0
Quick Nick,Renault,A1,0
Reol,Alfa Romeo,A1,0
RiceCake,Renault,A1,0
Rory Amor,Alpha Tauri,A1,0
Rory Amor,Alpha Tauri,A2,0
Script,Reserve,A1,0
SESDAVET,Testing,A3,0
shadowferrari,Red Bull Racing,A1,0
shotsbaldwin,Williams,A1,0
SilenceSuzuka61,Testing,A3,0
small£¬smllH,Reserve,A2,0
Snowflake,Failed,A3,0
SouLCause,Reserve,A2,0
spinnnnnia,Reserve,A2,0
Sponge,Testing,A3,0
STL,Reserve,A1,0
syrson,Reserve,A2,0
TeamCorvette,Renault,A2,0
TeFuir,Reserve,A1,0
tick372,Reserve,A1,0
TIGEROMG,Reserve,A2,0
Ti-x dor,Racing Point,A1,0
TJaySpin,Testing,A3,0
TOMFANG,Reserve,A2,0
ttt,Reserve,A2,0
Twoliges,Testing,A3,0
TXG,Reserve,A2,0
UltrasBoy,Reserve,A2,0
Wack.Y,Testing,A3,0
whiteGX5,Racing Point,A1,0
wofa,Reserve,A1,0
WUHUQIFEI,Red Bull Racing,A2,0
XD_Fantaman,Reserve,A2,0
YG_MMM,Reserve,A2,0
YIN,Reserve,A2,0
ZghosT,Mercedes AMG,A1,0
Mushi,Retired,A1,0
ruby,Retired,A1,0
HF13,Retired,A1,0
BlackBox,Retired,A2,0
Sugar Killer,Retired,A2,0
Leon,Retired,A2,0
Rxpcgz1123,Retired,A3,0
Monster Spin,Retired,A3,0
ARTIST,Team AFR2,A1,0
Mercedes 4orever,Team AFR2,A1,0
come papa here,Team AFR2,A1,0
XD_Fantaman,Team AFR2,A1,0
LugoBox,Team AFR2,A1,0
WUHUQIFEI,Team AFR2,A1,0
